1,- môi trường làm việc năng động - hiểu thêm về các loại đồ về trẻ em - có thêm kiến thức chăm sóc da cho bé - hiểu thêm về các loại sữa và cách thức hợp lý cho trẻ khi dùng - nhân viên hòa đồng và giúp đỡ lẫn nhau
-1,quá trình làm việc ít khuyến khích sự sáng tạo
1,"môi trường làm việc năng động, sáng tạo, đầy sức trẻ chế độ lương thưởng hợp lý nhân viên hòa đồng, thân thiện hỗ trợ đầy đủ chính sách bảo hiểm cho nhân viên"
-1,"ít cơ hội thăng tiến, cần tạo điều kiện phát triển cho nhân viên hơn áp lực khách hàng"
1,"ông giữ xe thân thiện, nhân viên bán hàng cũng ok. Trang trí cửa hàng good."
-1,"đồ bán quá mắc, mẫu mã kém đa dạng. lựa đi lựa lại mấy lần ko dc cái nào ưng."
1,- Môi trường thân thiện - Sếp hoà đồng - Chế độ phúc lợi tốt OT ko bắt buộc. Lâu lâu sẽ được Sếp đãi ăn trưa hoành tráng
1,Môi trường làm việc tốt
-1,Cần chú ý thêm về chế độ thưởng cho OT OT OT OT OT OT
1,"Công việc nghiên cứu tech rất hay, khuyến khích dạy lại nhau và giúp nhau cùng phát triển. Không có OT, nếu dự án nhận về cho học viên làm gấp thì OT hoặc xây hệ thống cho techmaster, nhưng OT ở đây vui vì anh em đều thoải mái."
1,"Đồng nghiệp thân thiện, nhiệt tình, thoải mái, không khí làm việc hòa đồng."
-1,Môi trường làm việc nên được cải thiện hơn. Đôi lúc Sếp cứng nhắc và thiếu quyết đoán. Không có phụ cấp OT. Đôi khi không có thời gian dành cho gia đình.
1,"- Mới vào được cấp 1 máy tính Thinkpad, 2 màn hình Dell xịn xò quay ngang quay dọc được để làm việc. - Chỉ cần bạn cống hiến cho công ty, công ty sẽ có chế độ đãi ngộ tương xứng. Lưu ý công ty không ngại thay đổi, đập đi làm lại, nên không phù hợp với những người có tư duy bảo thủ và e dè trong sự thay đổi OT 150% lương, OT chủ nhật 200% lương. Công ty có chế độ lương OT rõ ràng, và các leader cũng khá thoải mái."
-1,"- Cty đang trong quá trình grow, nên có thể còn nhiều sơ sót trong cách quản lý cũng như vận hành - Văn hóa công ty cũng đang trong quá trình xây dựng, nên có thể chưa phù hợp với một số người cần sự ổn định và chỉn chu trong phong cách làm việc"
1,"được cấp máy tính, giờ giấc thoải mái, môi trường thoải mái Ít OT, OT lương cao"
-1,"Làm việc 8 tiếng/ngày không hiệu quả, đề suất giảm xuống 7 tiếng/ngày"
1,"VP nhiều cây xanh , nhân viên trẻ trung năng động nhiệt tình Có lương OT, chỉ OT nếu cần thiết , không triền miên"
1,"Văn phòng đẹp, điều kiện, thiết bị làm việc rất tốt. Có các trò chơi giải trí bi lắc, AOE, .v.v. Không bắt buộc phải OT, nếu OT sẽ được ghi nhận. Mọi thứ đều OK."
1,"Văn phòng đẹp thực sự, sếp và nhân viên vui vẻ hòa đồng Chế độ đãi ngộ, phúc lợi có thể gọi là tốt nhất trong các công ty làm IT làm sản phẩm"
1,"Văn phòng đẹp, chỗ để xe rộng, có bàn bi lắc giải trí. OT 200% lương, thỏa mái giờ giấc, đồ ăn cafe vô số."
1,"Môi trường làm việc rất đẹp và thoải mái. Leader và đồng nghiệp luôn tận tình giúp đỡ, lắng nghe khi bạn cần. Là 1 cty rất xứng đáng để cống hiến và gắn bó lâu dài. Chế độ OT hợp lý, xứng đáng với công xức mà mn bỏ ra."
1,"Công ty đẹp, nhiều đồ ăn, công việc thoải mái, sếp vui vẻ thân thiện OT được x2 lương, thoải mái không bị ép, có thể làm tại nhà"
1,"Văn phòng thoải mái, bãi đỗ xe rất gần chỗ làm việc OT được tính lương đúng thời gian khối lượng công việc"
